#GeV       mcb     mcb
1.5        0.606   0.1606
1.75       0.627   0.16
2.0        0.352   0.083848
2.5        0.355   0.041
2.5        0.471   0.12033
2.5        0.356   0.075108
2.5        0.489   0.054
3.0        0.26    0.0591
3.5        0.352   0.10124
3.5        0.312   0.043
3.5        0.479   0.11659
3.5        0.369   0.062
4.0        0.214   0.09182
4.5        0.415   0.12655
5.0        0.408   0.10168
5.0        0.293   0.056
5.5        0.445   0.14065
6.0        0.34    0.0454
6.5        0.352   0.12684
6.7        0.3972  0.044192
7.0        0.218   0.066
7.0        0.331   0.09351
7.5        0.398   0.15066
8.0        0.327   0.04037
8.5        0.32    0.1314
9.0        0.254   0.1
9.0        0.391   0.10611
9.5        0.544   0.20248
10.5       0.264   0.13288
11.0       0.31    0.02965
12.0       0.349   0.18027
12.3       0.3652  0.0270596
14.0       0.322   0.17106
15.0       0.303   0.08864
15.0       0.362   0.04644
17.5       0.31    0.1663
20.0       0.303   0.029858
22.7       0.3544  0.0260168
27.0       0.31    0.03385
27.5       0.372   0.05136
35.0       0.329   0.037913
37.8       0.3748  0.0337824
43.0       0.345   0.04585
45.0       0.414   0.05368
51.0       0.364   0.05368
54.8       0.4115  0.04225
65.0       0.373   0.05799
67.5       0.439   0.05768
80.2       0.4703  0.057836
95.0       0.464   0.08356
120.4      0.572   0.11198
158.69999  0.7341  0.236271
